Nuevo entrenamiento
Generaciones: 100 - Poblacion: 2000
Gen 1/100 | Mejor: 500.0 | Promedio: 96.43 | Record: 500.0
Gen 2/100 | Mejor: 505.0 | Promedio: 90.21 | Record: 505.0
Gen 3/100 | Mejor: 500.0 | Promedio: 93.59 | Record: 505.0
Gen 4/100 | Mejor: 500.0 | Promedio: 92.47 | Record: 505.0
Gen 5/100 | Mejor: 492.4 | Promedio: 91.25 | Record: 505.0
Gen 6/100 | Mejor: 500.0 | Promedio: 89.18 | Record: 505.0
Gen 7/100 | Mejor: 507.4 | Promedio: 92.5 | Record: 507.4
Gen 8/100 | Mejor: 489.9 | Promedio: 92.31 | Record: 507.4
Gen 9/100 | Mejor: 477.0 | Promedio: 89.14 | Record: 507.4
Gen 10/100 | Mejor: 484.8 | Promedio: 89.9 | Record: 507.4
Gen 11/100 | Mejor: 492.4 | Promedio: 93.36 | Record: 507.4
Gen 12/100 | Mejor: 495.0 | Promedio: 94.07 | Record: 507.4
Gen 13/100 | Mejor: 497.5 | Promedio: 97.4 | Record: 507.4
Gen 14/100 | Mejor: 505.0 | Promedio: 95.24 | Record: 507.4
Gen 15/100 | Mejor: 509.9 | Promedio: 91.4 | Record: 509.9
Gen 16/100 | Mejor: 497.5 | Promedio: 92.32 | Record: 509.9
Gen 17/100 | Mejor: 487.3 | Promedio: 93.51 | Record: 509.9
Gen 18/100 | Mejor: 507.4 | Promedio: 96.56 | Record: 509.9
Gen 19/100 | Mejor: 509.9 | Promedio: 95.38 | Record: 509.9
Gen 20/100 | Mejor: 497.5 | Promedio: 95.53 | Record: 509.9
Gen 21/100 | Mejor: 495.0 | Promedio: 96.42 | Record: 509.9
Gen 22/100 | Mejor: 479.6 | Promedio: 93.26 | Record: 509.9
Gen 23/100 | Mejor: 484.8 | Promedio: 96.92 | Record: 509.9
Gen 24/100 | Mejor: 484.8 | Promedio: 99.24 | Record: 509.9
Gen 25/100 | Mejor: 489.9 | Promedio: 95.03 | Record: 509.9
Gen 26/100 | Mejor: 487.3 | Promedio: 94.68 | Record: 509.9
Gen 27/100 | Mejor: 487.3 | Promedio: 95.29 | Record: 509.9
Gen 28/100 | Mejor: 482.2 | Promedio: 96.44 | Record: 509.9
Gen 29/100 | Mejor: 471.7 | Promedio: 93.58 | Record: 509.9
Gen 30/100 | Mejor: 505.0 | Promedio: 97.94 | Record: 509.9
Gen 31/100 | Mejor: 447.2 | Promedio: 94.15 | Record: 509.9
