Nuevo entrenamiento
Generaciones: 500 - Poblacion: 164
Gen 1/500 | Mejor: 342.8 | Record: 342.8
Gen 2/500 | Mejor: 484.8 | Record: 484.8
Gen 3/500 | Mejor: 335.4 | Record: 484.8
Gen 4/500 | Mejor: 367.4 | Record: 484.8
Gen 5/500 | Mejor: 390.5 | Record: 484.8
Gen 6/500 | Mejor: 430.1 | Record: 484.8
Gen 7/500 | Mejor: 387.3 | Record: 484.8
Gen 8/500 | Mejor: 455.5 | Record: 484.8
Gen 9/500 | Mejor: 492.4 | Record: 492.4
Gen 10/500 | Mejor: 509.9 | Record: 509.9
Gen 11/500 | Mejor: 360.6 | Record: 509.9
Gen 12/500 | Mejor: 400.0 | Record: 509.9
Gen 13/500 | Mejor: 522.0 | Record: 522.0
Gen 14/500 | Mejor: 438.7 | Record: 522.0
Gen 15/500 | Mejor: 509.9 | Record: 522.0
Gen 16/500 | Mejor: 357.1 | Record: 522.0
Gen 17/500 | Mejor: 308.2 | Record: 522.0
Gen 18/500 | Mejor: 421.3 | Record: 522.0
Gen 19/500 | Mejor: 433.0 | Record: 522.0
Gen 20/500 | Mejor: 360.6 | Record: 522.0
Gen 21/500 | Mejor: 435.9 | Record: 522.0
Gen 22/500 | Mejor: 484.8 | Record: 522.0
Gen 23/500 | Mejor: 377.5 | Record: 522.0
Gen 24/500 | Mejor: 435.9 | Record: 522.0
Gen 25/500 | Mejor: 435.9 | Record: 522.0
Gen 26/500 | Mejor: 357.1 | Record: 522.0
Gen 27/500 | Mejor: 444.4 | Record: 522.0
Gen 28/500 | Mejor: 367.4 | Record: 522.0
Gen 29/500 | Mejor: 324.0 | Record: 522.0
Gen 30/500 | Mejor: 357.1 | Record: 522.0
Gen 31/500 | Mejor: 393.7 | Record: 522.0
Gen 32/500 | Mejor: 367.4 | Record: 522.0
  [sigma ajustado a 0.101]
Gen 33/500 | Mejor: 380.8 | Record: 522.0
Gen 34/500 | Mejor: 370.8 | Record: 522.0
Gen 35/500 | Mejor: 360.6 | Record: 522.0
Gen 36/500 | Mejor: 412.3 | Record: 522.0
Gen 37/500 | Mejor: 320.2 | Record: 522.0
Gen 38/500 | Mejor: 331.7 | Record: 522.0
Gen 39/500 | Mejor: 278.4 | Record: 522.0
Gen 40/500 | Mejor: 346.4 | Record: 522.0
Gen 41/500 | Mejor: 463.7 | Record: 522.0
Gen 42/500 | Mejor: 295.8 | Record: 522.0
Gen 43/500 | Mejor: 458.3 | Record: 522.0
Gen 44/500 | Mejor: 300.0 | Record: 522.0
Gen 45/500 | Mejor: 312.2 | Record: 522.0
Gen 46/500 | Mejor: 364.0 | Record: 522.0
Gen 47/500 | Mejor: 421.3 | Record: 522.0
