Nuevo entrenamiento
Generaciones: 1000 - Poblacion: 50
Gen 108/1000 | Mejor: 193.6 | Record: 505.0
Gen 109/1000 | Mejor: 217.9 | Record: 505.0
Gen 110/1000 | Mejor: 213.6 | Record: 505.0
Gen 111/1000 | Mejor: 223.6 | Record: 505.0
Gen 112/1000 | Mejor: 206.2 | Record: 505.0
Gen 113/1000 | Mejor: 202.0 | Record: 505.0
Gen 114/1000 | Mejor: 219.1 | Record: 505.0
Gen 115/1000 | Mejor: 259.8 | Record: 505.0
Gen 116/1000 | Mejor: 269.3 | Record: 505.0
  [sigma ajustado a 0.299]
Gen 117/1000 | Mejor: 223.6 | Record: 505.0
Gen 118/1000 | Mejor: 212.1 | Record: 505.0
Gen 119/1000 | Mejor: 335.4 | Record: 505.0
Gen 120/1000 | Mejor: 215.4 | Record: 505.0
Gen 121/1000 | Mejor: 264.6 | Record: 505.0
Gen 122/1000 | Mejor: 206.2 | Record: 505.0
Gen 123/1000 | Mejor: 212.1 | Record: 505.0
Gen 124/1000 | Mejor: 244.9 | Record: 505.0
Gen 125/1000 | Mejor: 324.0 | Record: 505.0
Gen 126/1000 | Mejor: 224.5 | Record: 505.0
Gen 127/1000 | Mejor: 229.1 | Record: 505.0
Gen 128/1000 | Mejor: 244.9 | Record: 505.0
Gen 129/1000 | Mejor: 234.5 | Record: 505.0
Gen 130/1000 | Mejor: 263.9 | Record: 505.0
Gen 131/1000 | Mejor: 269.3 | Record: 505.0
Gen 132/1000 | Mejor: 300.0 | Record: 505.0
Gen 133/1000 | Mejor: 234.5 | Record: 505.0
Gen 134/1000 | Mejor: 264.6 | Record: 505.0
Gen 135/1000 | Mejor: 234.5 | Record: 505.0
Gen 136/1000 | Mejor: 229.1 | Record: 505.0
  [sigma ajustado a 0.358]
Gen 137/1000 | Mejor: 304.1 | Record: 505.0
Gen 138/1000 | Mejor: 229.1 | Record: 505.0
Gen 139/1000 | Mejor: 212.1 | Record: 505.0
Gen 140/1000 | Mejor: 223.6 | Record: 505.0
Gen 141/1000 | Mejor: 223.6 | Record: 505.0
Gen 142/1000 | Mejor: 234.5 | Record: 505.0
Gen 143/1000 | Mejor: 180.3 | Record: 505.0
Gen 144/1000 | Mejor: 229.1 | Record: 505.0
Gen 145/1000 | Mejor: 229.1 | Record: 505.0
Gen 146/1000 | Mejor: 212.1 | Record: 505.0
Gen 147/1000 | Mejor: 255.0 | Record: 505.0
Gen 148/1000 | Mejor: 173.2 | Record: 505.0
Gen 149/1000 | Mejor: 212.1 | Record: 505.0
Gen 150/1000 | Mejor: 217.9 | Record: 505.0
Gen 151/1000 | Mejor: 287.2 | Record: 505.0
Gen 152/1000 | Mejor: 234.5 | Record: 505.0
Gen 153/1000 | Mejor: 200.0 | Record: 505.0
Gen 154/1000 | Mejor: 173.2 | Record: 505.0
Gen 155/1000 | Mejor: 206.2 | Record: 505.0
Gen 156/1000 | Mejor: 200.0 | Record: 505.0
  [sigma ajustado a 0.430]
  [reset sigma → 0.05]
Gen 157/1000 | Mejor: 282.8 | Record: 505.0
Gen 158/1000 | Mejor: 244.9 | Record: 505.0
Gen 159/1000 | Mejor: 212.1 | Record: 505.0
Gen 160/1000 | Mejor: 193.6 | Record: 505.0
Gen 161/1000 | Mejor: 206.2 | Record: 505.0
Gen 162/1000 | Mejor: 212.1 | Record: 505.0
Gen 163/1000 | Mejor: 229.1 | Record: 505.0
Gen 164/1000 | Mejor: 200.0 | Record: 505.0
Gen 165/1000 | Mejor: 200.0 | Record: 505.0
Gen 166/1000 | Mejor: 244.9 | Record: 505.0
Gen 167/1000 | Mejor: 193.8 | Record: 505.0
Gen 168/1000 | Mejor: 217.9 | Record: 505.0
Gen 169/1000 | Mejor: 269.3 | Record: 505.0
Gen 170/1000 | Mejor: 255.0 | Record: 505.0
Gen 171/1000 | Mejor: 304.1 | Record: 505.0
Gen 172/1000 | Mejor: 239.8 | Record: 505.0
Gen 173/1000 | Mejor: 193.6 | Record: 505.0
Gen 174/1000 | Mejor: 217.9 | Record: 505.0
Gen 175/1000 | Mejor: 183.4 | Record: 505.0
Gen 176/1000 | Mejor: 360.6 | Record: 505.0
  [sigma ajustado a 0.060]
Gen 177/1000 | Mejor: 193.6 | Record: 505.0
Gen 178/1000 | Mejor: 250.0 | Record: 505.0
Gen 179/1000 | Mejor: 196.2 | Record: 505.0
Gen 180/1000 | Mejor: 250.0 | Record: 505.0
Gen 181/1000 | Mejor: 239.8 | Record: 505.0
Gen 182/1000 | Mejor: 200.0 | Record: 505.0
Gen 183/1000 | Mejor: 193.6 | Record: 505.0
Gen 184/1000 | Mejor: 255.0 | Record: 505.0
Gen 185/1000 | Mejor: 200.0 | Record: 505.0
Gen 186/1000 | Mejor: 217.9 | Record: 505.0
Gen 187/1000 | Mejor: 244.9 | Record: 505.0
Gen 188/1000 | Mejor: 244.9 | Record: 505.0
Gen 189/1000 | Mejor: 331.7 | Record: 505.0
Gen 190/1000 | Mejor: 193.6 | Record: 505.0
Gen 191/1000 | Mejor: 192.3 | Record: 505.0
Gen 192/1000 | Mejor: 223.6 | Record: 505.0
Gen 193/1000 | Mejor: 206.2 | Record: 505.0
Gen 194/1000 | Mejor: 200.0 | Record: 505.0
Gen 195/1000 | Mejor: 250.0 | Record: 505.0
Gen 196/1000 | Mejor: 312.2 | Record: 505.0
  [sigma ajustado a 0.072]
Gen 197/1000 | Mejor: 206.2 | Record: 505.0
Gen 198/1000 | Mejor: 217.9 | Record: 505.0
Gen 199/1000 | Mejor: 269.3 | Record: 505.0
Gen 200/1000 | Mejor: 234.5 | Record: 505.0
Gen 201/1000 | Mejor: 295.8 | Record: 505.0
Gen 202/1000 | Mejor: 264.6 | Record: 505.0
Gen 203/1000 | Mejor: 255.0 | Record: 505.0
Gen 204/1000 | Mejor: 212.1 | Record: 505.0
Gen 205/1000 | Mejor: 291.5 | Record: 505.0
Gen 206/1000 | Mejor: 287.2 | Record: 505.0
Gen 207/1000 | Mejor: 244.9 | Record: 505.0
Gen 208/1000 | Mejor: 244.2 | Record: 505.0
Gen 209/1000 | Mejor: 229.1 | Record: 505.0
Gen 210/1000 | Mejor: 239.8 | Record: 505.0
Gen 211/1000 | Mejor: 244.9 | Record: 505.0
Gen 212/1000 | Mejor: 259.8 | Record: 505.0
Gen 213/1000 | Mejor: 217.9 | Record: 505.0
Gen 214/1000 | Mejor: 212.1 | Record: 505.0
Gen 215/1000 | Mejor: 223.6 | Record: 505.0
Gen 216/1000 | Mejor: 269.3 | Record: 505.0
  [sigma ajustado a 0.086]
Gen 217/1000 | Mejor: 278.4 | Record: 505.0
Gen 218/1000 | Mejor: 269.3 | Record: 505.0
Gen 219/1000 | Mejor: 273.9 | Record: 505.0
Gen 220/1000 | Mejor: 273.9 | Record: 505.0
Gen 221/1000 | Mejor: 193.8 | Record: 505.0
Gen 222/1000 | Mejor: 259.8 | Record: 505.0
Gen 223/1000 | Mejor: 255.0 | Record: 505.0
Gen 224/1000 | Mejor: 225.4 | Record: 505.0
Gen 225/1000 | Mejor: 223.6 | Record: 505.0
Gen 226/1000 | Mejor: 244.9 | Record: 505.0
Gen 227/1000 | Mejor: 244.9 | Record: 505.0
Gen 228/1000 | Mejor: 223.6 | Record: 505.0
Gen 229/1000 | Mejor: 287.2 | Record: 505.0
Gen 230/1000 | Mejor: 255.0 | Record: 505.0
Gen 231/1000 | Mejor: 320.2 | Record: 505.0
Gen 232/1000 | Mejor: 187.1 | Record: 505.0
Gen 233/1000 | Mejor: 250.0 | Record: 505.0
Gen 234/1000 | Mejor: 273.9 | Record: 505.0
Gen 235/1000 | Mejor: 278.4 | Record: 505.0
Gen 236/1000 | Mejor: 223.6 | Record: 505.0
  [sigma ajustado a 0.104]
Gen 237/1000 | Mejor: 213.6 | Record: 505.0
Gen 238/1000 | Mejor: 304.1 | Record: 505.0
Gen 239/1000 | Mejor: 300.0 | Record: 505.0
Gen 240/1000 | Mejor: 193.6 | Record: 505.0
Gen 241/1000 | Mejor: 217.9 | Record: 505.0
Gen 242/1000 | Mejor: 196.0 | Record: 505.0
Gen 243/1000 | Mejor: 316.2 | Record: 505.0
Gen 244/1000 | Mejor: 212.1 | Record: 505.0
Gen 245/1000 | Mejor: 212.1 | Record: 505.0
Gen 246/1000 | Mejor: 193.6 | Record: 505.0
Gen 247/1000 | Mejor: 273.9 | Record: 505.0
Gen 248/1000 | Mejor: 206.2 | Record: 505.0
Gen 249/1000 | Mejor: 217.9 | Record: 505.0
Gen 250/1000 | Mejor: 234.5 | Record: 505.0
Gen 251/1000 | Mejor: 370.8 | Record: 505.0
Gen 252/1000 | Mejor: 239.8 | Record: 505.0
Gen 253/1000 | Mejor: 212.1 | Record: 505.0
Gen 254/1000 | Mejor: 200.0 | Record: 505.0
Gen 255/1000 | Mejor: 259.8 | Record: 505.0
Gen 256/1000 | Mejor: 255.0 | Record: 505.0
  [sigma ajustado a 0.124]
Gen 257/1000 | Mejor: 188.0 | Record: 505.0
Gen 258/1000 | Mejor: 212.1 | Record: 505.0
Gen 259/1000 | Mejor: 269.3 | Record: 505.0
Gen 260/1000 | Mejor: 291.5 | Record: 505.0
Gen 261/1000 | Mejor: 217.9 | Record: 505.0
Gen 262/1000 | Mejor: 244.9 | Record: 505.0
Gen 263/1000 | Mejor: 217.9 | Record: 505.0
Gen 264/1000 | Mejor: 223.6 | Record: 505.0
Gen 265/1000 | Mejor: 308.2 | Record: 505.0
Gen 266/1000 | Mejor: 374.2 | Record: 505.0
Gen 267/1000 | Mejor: 223.6 | Record: 505.0
Gen 268/1000 | Mejor: 244.9 | Record: 505.0
Gen 269/1000 | Mejor: 273.9 | Record: 505.0
Gen 270/1000 | Mejor: 206.2 | Record: 505.0
Gen 271/1000 | Mejor: 278.4 | Record: 505.0
Gen 272/1000 | Mejor: 212.1 | Record: 505.0
Gen 273/1000 | Mejor: 193.6 | Record: 505.0
Gen 274/1000 | Mejor: 217.9 | Record: 505.0
Gen 275/1000 | Mejor: 219.1 | Record: 505.0
Gen 276/1000 | Mejor: 339.1 | Record: 505.0
  [sigma ajustado a 0.149]
Gen 277/1000 | Mejor: 193.6 | Record: 505.0
Gen 278/1000 | Mejor: 229.1 | Record: 505.0
Gen 279/1000 | Mejor: 217.9 | Record: 505.0
Gen 280/1000 | Mejor: 229.1 | Record: 505.0
Gen 281/1000 | Mejor: 187.1 | Record: 505.0
Gen 282/1000 | Mejor: 200.0 | Record: 505.0
Gen 283/1000 | Mejor: 200.0 | Record: 505.0
Gen 284/1000 | Mejor: 244.9 | Record: 505.0
Gen 285/1000 | Mejor: 234.5 | Record: 505.0
Gen 286/1000 | Mejor: 212.1 | Record: 505.0
Gen 287/1000 | Mejor: 287.2 | Record: 505.0
Gen 288/1000 | Mejor: 278.4 | Record: 505.0
Gen 289/1000 | Mejor: 244.9 | Record: 505.0
Gen 290/1000 | Mejor: 223.6 | Record: 505.0
Gen 291/1000 | Mejor: 234.5 | Record: 505.0
Gen 292/1000 | Mejor: 217.9 | Record: 505.0
Gen 293/1000 | Mejor: 287.2 | Record: 505.0
Gen 294/1000 | Mejor: 353.6 | Record: 505.0
Gen 295/1000 | Mejor: 244.9 | Record: 505.0
Gen 296/1000 | Mejor: 278.4 | Record: 505.0
  [sigma ajustado a 0.179]
Gen 297/1000 | Mejor: 206.2 | Record: 505.0
Gen 298/1000 | Mejor: 250.0 | Record: 505.0
Gen 299/1000 | Mejor: 200.0 | Record: 505.0
Gen 300/1000 | Mejor: 244.9 | Record: 505.0
Gen 301/1000 | Mejor: 217.9 | Record: 505.0
Gen 302/1000 | Mejor: 250.0 | Record: 505.0
Gen 303/1000 | Mejor: 229.1 | Record: 505.0
Gen 304/1000 | Mejor: 212.1 | Record: 505.0
Gen 305/1000 | Mejor: 229.1 | Record: 505.0
Gen 306/1000 | Mejor: 244.9 | Record: 505.0
Gen 307/1000 | Mejor: 254.6 | Record: 505.0
Gen 308/1000 | Mejor: 269.3 | Record: 505.0
Gen 309/1000 | Mejor: 200.0 | Record: 505.0
Gen 310/1000 | Mejor: 255.0 | Record: 505.0
Gen 311/1000 | Mejor: 229.1 | Record: 505.0
Gen 312/1000 | Mejor: 212.1 | Record: 505.0
Gen 313/1000 | Mejor: 273.9 | Record: 505.0
Gen 314/1000 | Mejor: 239.8 | Record: 505.0
Gen 315/1000 | Mejor: 229.1 | Record: 505.0
Gen 316/1000 | Mejor: 273.9 | Record: 505.0
  [sigma ajustado a 0.215]
Gen 317/1000 | Mejor: 291.5 | Record: 505.0
Gen 318/1000 | Mejor: 316.2 | Record: 505.0
Gen 319/1000 | Mejor: 259.8 | Record: 505.0
Gen 320/1000 | Mejor: 239.8 | Record: 505.0
Gen 321/1000 | Mejor: 250.0 | Record: 505.0
Gen 322/1000 | Mejor: 187.1 | Record: 505.0
Gen 323/1000 | Mejor: 206.2 | Record: 505.0
Gen 324/1000 | Mejor: 229.1 | Record: 505.0
Gen 325/1000 | Mejor: 206.2 | Record: 505.0
Gen 326/1000 | Mejor: 200.0 | Record: 505.0
Gen 327/1000 | Mejor: 223.6 | Record: 505.0
Gen 328/1000 | Mejor: 295.8 | Record: 505.0
Gen 329/1000 | Mejor: 244.9 | Record: 505.0
Gen 330/1000 | Mejor: 234.5 | Record: 505.0
Gen 331/1000 | Mejor: 259.8 | Record: 505.0
Gen 332/1000 | Mejor: 320.2 | Record: 505.0
Gen 333/1000 | Mejor: 244.9 | Record: 505.0
Gen 334/1000 | Mejor: 250.0 | Record: 505.0
Gen 335/1000 | Mejor: 259.8 | Record: 505.0
Gen 336/1000 | Mejor: 291.5 | Record: 505.0
  [sigma ajustado a 0.258]
Gen 337/1000 | Mejor: 234.5 | Record: 505.0
Gen 338/1000 | Mejor: 223.6 | Record: 505.0
Gen 339/1000 | Mejor: 229.1 | Record: 505.0
Gen 340/1000 | Mejor: 269.3 | Record: 505.0
Gen 341/1000 | Mejor: 239.8 | Record: 505.0
Gen 342/1000 | Mejor: 239.8 | Record: 505.0
