Nuevo entrenamiento
Generaciones: 100 - Poblacion: 190
Gen 1/100 | Mejor: 487.3 | Record: 487.3
Gen 2/100 | Mejor: 479.6 | Record: 487.3
Gen 3/100 | Mejor: 458.3 | Record: 487.3
Gen 4/100 | Mejor: 455.5 | Record: 487.3
Gen 5/100 | Mejor: 463.7 | Record: 487.3
Gen 6/100 | Mejor: 461.0 | Record: 487.3
Gen 7/100 | Mejor: 463.7 | Record: 487.3
Gen 8/100 | Mejor: 463.7 | Record: 487.3
Gen 9/100 | Mejor: 387.3 | Record: 487.3
Gen 10/100 | Mejor: 466.4 | Record: 487.3
Gen 11/100 | Mejor: 424.3 | Record: 487.3
Gen 12/100 | Mejor: 484.8 | Record: 487.3
Gen 13/100 | Mejor: 479.6 | Record: 487.3
Gen 14/100 | Mejor: 327.9 | Record: 487.3
Gen 15/100 | Mejor: 474.3 | Record: 487.3
Gen 16/100 | Mejor: 479.6 | Record: 487.3
Gen 17/100 | Mejor: 479.6 | Record: 487.3
Gen 18/100 | Mejor: 360.6 | Record: 487.3
Gen 19/100 | Mejor: 393.7 | Record: 487.3
Gen 20/100 | Mejor: 374.2 | Record: 487.3
  [sigma ajustado a 0.420]
  [reset sigma → 0.05]
Gen 21/100 | Mejor: 487.3 | Record: 487.3
Gen 22/100 | Mejor: 339.1 | Record: 487.3
Gen 23/100 | Mejor: 396.9 | Record: 487.3
Gen 24/100 | Mejor: 455.5 | Record: 487.3
Gen 25/100 | Mejor: 489.9 | Record: 489.9
Gen 26/100 | Mejor: 492.4 | Record: 492.4
Gen 27/100 | Mejor: 447.2 | Record: 492.4
Gen 28/100 | Mejor: 463.7 | Record: 492.4
Gen 29/100 | Mejor: 433.0 | Record: 492.4
Gen 30/100 | Mejor: 463.7 | Record: 492.4
Gen 31/100 | Mejor: 447.2 | Record: 492.4
Gen 32/100 | Mejor: 384.1 | Record: 492.4
Gen 33/100 | Mejor: 384.1 | Record: 492.4
Gen 34/100 | Mejor: 380.8 | Record: 492.4
Gen 35/100 | Mejor: 350.0 | Record: 492.4
Gen 36/100 | Mejor: 447.2 | Record: 492.4
Gen 37/100 | Mejor: 466.4 | Record: 492.4
Gen 38/100 | Mejor: 384.1 | Record: 492.4
Gen 39/100 | Mejor: 295.8 | Record: 492.4
Gen 40/100 | Mejor: 497.5 | Record: 497.5
Gen 41/100 | Mejor: 418.3 | Record: 497.5
Gen 42/100 | Mejor: 412.3 | Record: 497.5
Gen 43/100 | Mejor: 350.0 | Record: 497.5
Gen 44/100 | Mejor: 327.9 | Record: 497.5
Gen 45/100 | Mejor: 421.3 | Record: 497.5
Gen 46/100 | Mejor: 406.2 | Record: 497.5
Gen 47/100 | Mejor: 346.4 | Record: 497.5
Gen 48/100 | Mejor: 400.0 | Record: 497.5
Gen 49/100 | Mejor: 367.4 | Record: 497.5
Gen 50/100 | Mejor: 412.3 | Record: 497.5
Gen 51/100 | Mejor: 444.4 | Record: 497.5
Gen 52/100 | Mejor: 360.6 | Record: 497.5
Gen 53/100 | Mejor: 495.0 | Record: 497.5
Gen 54/100 | Mejor: 452.8 | Record: 497.5
Gen 55/100 | Mejor: 360.6 | Record: 497.5
Gen 56/100 | Mejor: 390.5 | Record: 497.5
Gen 57/100 | Mejor: 384.1 | Record: 497.5
Gen 58/100 | Mejor: 469.0 | Record: 497.5
Gen 59/100 | Mejor: 377.5 | Record: 497.5
  [sigma ajustado a 0.060]
Gen 60/100 | Mejor: 350.0 | Record: 497.5
Gen 61/100 | Mejor: 360.6 | Record: 497.5
Gen 62/100 | Mejor: 479.6 | Record: 497.5
