Nuevo entrenamiento
Generaciones: 500 - Poblacion: 154
Gen 112/500 | Mejor: 312.2 | Record: 526.8
Gen 113/500 | Mejor: 308.2 | Record: 526.8
Gen 114/500 | Mejor: 335.4 | Record: 526.8
  [sigma ajustado a 0.174]
Gen 115/500 | Mejor: 291.5 | Record: 526.8
Gen 116/500 | Mejor: 357.1 | Record: 526.8
Gen 117/500 | Mejor: 312.2 | Record: 526.8
Gen 118/500 | Mejor: 282.8 | Record: 526.8
Gen 119/500 | Mejor: 320.2 | Record: 526.8
Gen 120/500 | Mejor: 316.2 | Record: 526.8
Gen 121/500 | Mejor: 295.8 | Record: 526.8
Gen 122/500 | Mejor: 390.5 | Record: 526.8
Gen 123/500 | Mejor: 324.0 | Record: 526.8
Gen 124/500 | Mejor: 316.2 | Record: 526.8
Gen 125/500 | Mejor: 282.8 | Record: 526.8
Gen 126/500 | Mejor: 308.2 | Record: 526.8
Gen 127/500 | Mejor: 335.4 | Record: 526.8
Gen 128/500 | Mejor: 357.1 | Record: 526.8
Gen 129/500 | Mejor: 327.9 | Record: 526.8
Gen 130/500 | Mejor: 350.0 | Record: 526.8
Gen 131/500 | Mejor: 304.1 | Record: 526.8
Gen 132/500 | Mejor: 291.5 | Record: 526.8
Gen 133/500 | Mejor: 331.7 | Record: 526.8
Gen 134/500 | Mejor: 418.3 | Record: 526.8
  [sigma ajustado a 0.209]
Gen 135/500 | Mejor: 259.8 | Record: 526.8
Gen 136/500 | Mejor: 291.5 | Record: 526.8
Gen 137/500 | Mejor: 304.1 | Record: 526.8
Gen 138/500 | Mejor: 353.6 | Record: 526.8
Gen 139/500 | Mejor: 403.1 | Record: 526.8
Gen 140/500 | Mejor: 300.0 | Record: 526.8
Gen 141/500 | Mejor: 339.1 | Record: 526.8
Gen 142/500 | Mejor: 357.1 | Record: 526.8
Gen 143/500 | Mejor: 278.4 | Record: 526.8
Gen 144/500 | Mejor: 308.2 | Record: 526.8
Gen 145/500 | Mejor: 353.6 | Record: 526.8
Gen 146/500 | Mejor: 320.2 | Record: 526.8
Gen 147/500 | Mejor: 264.6 | Record: 526.8
Gen 148/500 | Mejor: 324.0 | Record: 526.8
Gen 149/500 | Mejor: 396.9 | Record: 526.8
Gen 150/500 | Mejor: 327.9 | Record: 526.8
Gen 151/500 | Mejor: 304.1 | Record: 526.8
Gen 152/500 | Mejor: 300.0 | Record: 526.8
Gen 153/500 | Mejor: 259.8 | Record: 526.8
Gen 154/500 | Mejor: 339.1 | Record: 526.8
  [sigma ajustado a 0.251]
Gen 155/500 | Mejor: 287.2 | Record: 526.8
Gen 156/500 | Mejor: 312.2 | Record: 526.8
Gen 157/500 | Mejor: 380.8 | Record: 526.8
Gen 158/500 | Mejor: 360.6 | Record: 526.8
Gen 159/500 | Mejor: 370.8 | Record: 526.8
Gen 160/500 | Mejor: 316.2 | Record: 526.8
Gen 161/500 | Mejor: 291.5 | Record: 526.8
Gen 162/500 | Mejor: 396.9 | Record: 526.8
Gen 163/500 | Mejor: 327.9 | Record: 526.8
Gen 164/500 | Mejor: 287.2 | Record: 526.8
Gen 165/500 | Mejor: 304.1 | Record: 526.8
Gen 166/500 | Mejor: 304.1 | Record: 526.8
Gen 167/500 | Mejor: 331.7 | Record: 526.8
Gen 168/500 | Mejor: 346.4 | Record: 526.8
Gen 169/500 | Mejor: 295.8 | Record: 526.8
Gen 170/500 | Mejor: 406.2 | Record: 526.8
Gen 171/500 | Mejor: 335.4 | Record: 526.8
Gen 172/500 | Mejor: 331.7 | Record: 526.8
Gen 173/500 | Mejor: 273.9 | Record: 526.8
Gen 174/500 | Mejor: 360.6 | Record: 526.8
  [sigma ajustado a 0.301]
Gen 175/500 | Mejor: 320.2 | Record: 526.8
Gen 176/500 | Mejor: 406.2 | Record: 526.8
Gen 177/500 | Mejor: 350.0 | Record: 526.8
Gen 178/500 | Mejor: 353.6 | Record: 526.8
Gen 179/500 | Mejor: 339.1 | Record: 526.8
Gen 180/500 | Mejor: 304.1 | Record: 526.8
Gen 181/500 | Mejor: 364.0 | Record: 526.8
Gen 182/500 | Mejor: 380.8 | Record: 526.8
Gen 183/500 | Mejor: 406.2 | Record: 526.8
Gen 184/500 | Mejor: 370.8 | Record: 526.8
Gen 185/500 | Mejor: 316.2 | Record: 526.8
Gen 186/500 | Mejor: 250.0 | Record: 526.8
Gen 187/500 | Mejor: 295.8 | Record: 526.8
Gen 188/500 | Mejor: 287.2 | Record: 526.8
Gen 189/500 | Mejor: 387.3 | Record: 526.8
Gen 190/500 | Mejor: 250.0 | Record: 526.8
Gen 191/500 | Mejor: 282.8 | Record: 526.8
Gen 192/500 | Mejor: 273.9 | Record: 526.8
Gen 193/500 | Mejor: 308.2 | Record: 526.8
Gen 194/500 | Mejor: 433.0 | Record: 526.8
  [sigma ajustado a 0.361]
Gen 195/500 | Mejor: 367.4 | Record: 526.8
Gen 196/500 | Mejor: 357.1 | Record: 526.8
