Nuevo entrenamiento
Generaciones: 1500 - Poblacion: 100
Gen 108/1500 | Mejor: 412.3 | Record: 461.0
Gen 109/1500 | Mejor: 384.1 | Record: 461.0
Gen 110/1500 | Mejor: 430.1 | Record: 461.0
Gen 111/1500 | Mejor: 430.1 | Record: 461.0
Gen 112/1500 | Mejor: 396.9 | Record: 461.0
Gen 113/1500 | Mejor: 424.3 | Record: 461.0
Gen 114/1500 | Mejor: 384.1 | Record: 461.0
Gen 115/1500 | Mejor: 435.9 | Record: 461.0
Gen 116/1500 | Mejor: 406.2 | Record: 461.0
  [sigma ajustado a 0.209]
Gen 117/1500 | Mejor: 400.0 | Record: 461.0
Gen 118/1500 | Mejor: 370.8 | Record: 461.0
Gen 119/1500 | Mejor: 427.2 | Record: 461.0
Gen 120/1500 | Mejor: 418.3 | Record: 461.0
Gen 121/1500 | Mejor: 450.0 | Record: 461.0
Gen 122/1500 | Mejor: 412.3 | Record: 461.0
Gen 123/1500 | Mejor: 412.3 | Record: 461.0
Gen 124/1500 | Mejor: 430.1 | Record: 461.0
Gen 125/1500 | Mejor: 393.7 | Record: 461.0
Gen 126/1500 | Mejor: 424.3 | Record: 461.0
Gen 127/1500 | Mejor: 406.2 | Record: 461.0
Gen 128/1500 | Mejor: 418.3 | Record: 461.0
Gen 129/1500 | Mejor: 415.3 | Record: 461.0
Gen 130/1500 | Mejor: 396.9 | Record: 461.0
Gen 131/1500 | Mejor: 387.3 | Record: 461.0
Gen 132/1500 | Mejor: 427.2 | Record: 461.0
Gen 133/1500 | Mejor: 377.5 | Record: 461.0
Gen 134/1500 | Mejor: 433.0 | Record: 461.0
Gen 135/1500 | Mejor: 403.1 | Record: 461.0
Gen 136/1500 | Mejor: 430.1 | Record: 461.0
  [sigma ajustado a 0.251]
Gen 137/1500 | Mejor: 396.9 | Record: 461.0
Gen 138/1500 | Mejor: 424.3 | Record: 461.0
Gen 139/1500 | Mejor: 370.8 | Record: 461.0
Gen 140/1500 | Mejor: 377.5 | Record: 461.0
Gen 141/1500 | Mejor: 406.2 | Record: 461.0
Gen 142/1500 | Mejor: 364.0 | Record: 461.0
Gen 143/1500 | Mejor: 353.6 | Record: 461.0
Gen 144/1500 | Mejor: 331.7 | Record: 461.0
Gen 145/1500 | Mejor: 396.9 | Record: 461.0
Gen 146/1500 | Mejor: 409.3 | Record: 461.0
Gen 147/1500 | Mejor: 327.9 | Record: 461.0
Gen 148/1500 | Mejor: 412.3 | Record: 461.0
Gen 149/1500 | Mejor: 390.5 | Record: 461.0
Gen 150/1500 | Mejor: 418.3 | Record: 461.0
Gen 151/1500 | Mejor: 393.7 | Record: 461.0
Gen 152/1500 | Mejor: 400.0 | Record: 461.0
Gen 153/1500 | Mejor: 427.2 | Record: 461.0
Gen 154/1500 | Mejor: 377.5 | Record: 461.0
Gen 155/1500 | Mejor: 418.3 | Record: 461.0
Gen 156/1500 | Mejor: 441.6 | Record: 461.0
  [sigma ajustado a 0.301]
Gen 157/1500 | Mejor: 412.3 | Record: 461.0
Gen 158/1500 | Mejor: 424.3 | Record: 461.0
Gen 159/1500 | Mejor: 400.0 | Record: 461.0
Gen 160/1500 | Mejor: 400.0 | Record: 461.0
