Nuevo entrenamiento
Generaciones: 100 - Poblacion: 400
Gen 81/100 | Mejor: 400.0 | Promedio: 92.11 | Record: 492.4
Gen 82/100 | Mejor: 409.3 | Promedio: 89.71 | Record: 492.4
Gen 83/100 | Mejor: 360.6 | Promedio: 86.91 | Record: 492.4
Gen 84/100 | Mejor: 324.0 | Promedio: 83.84 | Record: 492.4
Gen 85/100 | Mejor: 415.3 | Promedio: 96.42 | Record: 492.4
Gen 86/100 | Mejor: 403.1 | Promedio: 92.26 | Record: 492.4
Gen 87/100 | Mejor: 342.8 | Promedio: 95.52 | Record: 492.4
Gen 88/100 | Mejor: 327.9 | Promedio: 93.85 | Record: 492.4
Gen 89/100 | Mejor: 339.1 | Promedio: 89.51 | Record: 492.4
  [sigma ajustado a 0.145]
Gen 90/100 | Mejor: 400.0 | Promedio: 95.88 | Record: 492.4
Gen 91/100 | Mejor: 331.7 | Promedio: 91.46 | Record: 492.4
Gen 92/100 | Mejor: 320.2 | Promedio: 91.76 | Record: 492.4
Gen 93/100 | Mejor: 364.0 | Promedio: 85.48 | Record: 492.4
Gen 94/100 | Mejor: 421.3 | Promedio: 91.07 | Record: 492.4
Gen 95/100 | Mejor: 353.6 | Promedio: 90.46 | Record: 492.4
Gen 96/100 | Mejor: 291.5 | Promedio: 90.86 | Record: 492.4
Gen 97/100 | Mejor: 324.0 | Promedio: 86.53 | Record: 492.4
Gen 98/100 | Mejor: 374.2 | Promedio: 96.51 | Record: 492.4
Gen 99/100 | Mejor: 353.6 | Promedio: 92.36 | Record: 492.4
Gen 100/100 | Mejor: 342.8 | Promedio: 94.2 | Record: 492.4
100: 377.99
