Nuevo entrenamiento
Generaciones: 100 - Poblacion: 400
Gen 1/100 | Mejor: 396.9 | Promedio: 91.73 | Record: 396.9
Gen 2/100 | Mejor: 387.3 | Promedio: 82.78 | Record: 396.9
Gen 3/100 | Mejor: 403.1 | Promedio: 82.73 | Record: 403.1
Gen 4/100 | Mejor: 353.6 | Promedio: 77.8 | Record: 403.1
Gen 5/100 | Mejor: 418.3 | Promedio: 80.48 | Record: 418.3
Gen 6/100 | Mejor: 396.9 | Promedio: 82.85 | Record: 418.3
Gen 7/100 | Mejor: 364.0 | Promedio: 80.38 | Record: 418.3
Gen 8/100 | Mejor: 370.8 | Promedio: 83.74 | Record: 418.3
Gen 9/100 | Mejor: 287.2 | Promedio: 78.25 | Record: 418.3
Gen 10/100 | Mejor: 424.3 | Promedio: 82.56 | Record: 424.3
Gen 11/100 | Mejor: 390.5 | Promedio: 78.57 | Record: 424.3
Gen 12/100 | Mejor: 507.4 | Promedio: 86.62 | Record: 507.4
Gen 13/100 | Mejor: 320.2 | Promedio: 78.19 | Record: 507.4
Gen 14/100 | Mejor: 396.9 | Promedio: 84.02 | Record: 507.4
Gen 15/100 | Mejor: 370.8 | Promedio: 83.57 | Record: 507.4
Gen 16/100 | Mejor: 324.0 | Promedio: 78.17 | Record: 507.4
Gen 17/100 | Mejor: 374.2 | Promedio: 86.97 | Record: 507.4
Gen 18/100 | Mejor: 387.3 | Promedio: 84.5 | Record: 507.4
Gen 19/100 | Mejor: 380.8 | Promedio: 86.1 | Record: 507.4
Gen 20/100 | Mejor: 487.3 | Promedio: 85.62 | Record: 507.4
Gen 21/100 | Mejor: 415.3 | Promedio: 90.62 | Record: 507.4
Gen 22/100 | Mejor: 316.2 | Promedio: 92.59 | Record: 507.4
Gen 23/100 | Mejor: 370.8 | Promedio: 82.6 | Record: 507.4
Gen 24/100 | Mejor: 374.2 | Promedio: 87.55 | Record: 507.4
Gen 25/100 | Mejor: 441.6 | Promedio: 87.55 | Record: 507.4
Gen 26/100 | Mejor: 433.0 | Promedio: 81.68 | Record: 507.4
Gen 27/100 | Mejor: 406.2 | Promedio: 89.67 | Record: 507.4
Gen 28/100 | Mejor: 412.3 | Promedio: 92.25 | Record: 507.4
Gen 29/100 | Mejor: 455.5 | Promedio: 88.01 | Record: 507.4
Gen 30/100 | Mejor: 424.3 | Promedio: 93.36 | Record: 507.4
Gen 31/100 | Mejor: 444.4 | Promedio: 89.65 | Record: 507.4
  [sigma ajustado a 0.101]
Gen 32/100 | Mejor: 415.3 | Promedio: 87.7 | Record: 507.4
Gen 33/100 | Mejor: 466.4 | Promedio: 93.2 | Record: 507.4
Gen 34/100 | Mejor: 461.0 | Promedio: 91.89 | Record: 507.4
Gen 35/100 | Mejor: 412.3 | Promedio: 89.13 | Record: 507.4
Gen 36/100 | Mejor: 350.0 | Promedio: 85.23 | Record: 507.4
Gen 37/100 | Mejor: 421.3 | Promedio: 83.16 | Record: 507.4
Gen 38/100 | Mejor: 357.1 | Promedio: 84.82 | Record: 507.4
Gen 39/100 | Mejor: 400.0 | Promedio: 83.62 | Record: 507.4
Gen 40/100 | Mejor: 424.3 | Promedio: 89.25 | Record: 507.4
Gen 41/100 | Mejor: 450.0 | Promedio: 87.81 | Record: 507.4
Gen 42/100 | Mejor: 433.0 | Promedio: 93.09 | Record: 507.4
Gen 43/100 | Mejor: 418.3 | Promedio: 92.04 | Record: 507.4
Gen 44/100 | Mejor: 374.2 | Promedio: 84.02 | Record: 507.4
Gen 45/100 | Mejor: 387.3 | Promedio: 88.97 | Record: 507.4
Gen 46/100 | Mejor: 353.6 | Promedio: 86.84 | Record: 507.4
Gen 47/100 | Mejor: 400.0 | Promedio: 84.65 | Record: 507.4
Gen 48/100 | Mejor: 435.9 | Promedio: 85.79 | Record: 507.4
Gen 49/100 | Mejor: 364.0 | Promedio: 85.09 | Record: 507.4
Gen 50/100 | Mejor: 312.2 | Promedio: 85.32 | Record: 507.4
Gen 51/100 | Mejor: 360.6 | Promedio: 87.5 | Record: 507.4
  [sigma ajustado a 0.121]
Gen 52/100 | Mejor: 387.3 | Promedio: 87.48 | Record: 507.4
Gen 53/100 | Mejor: 331.7 | Promedio: 87.21 | Record: 507.4
Gen 54/100 | Mejor: 441.6 | Promedio: 85.38 | Record: 507.4
Gen 55/100 | Mejor: 403.1 | Promedio: 92.01 | Record: 507.4
Gen 56/100 | Mejor: 335.4 | Promedio: 88.18 | Record: 507.4
Gen 57/100 | Mejor: 384.1 | Promedio: 95.02 | Record: 507.4
Gen 58/100 | Mejor: 291.5 | Promedio: 85.76 | Record: 507.4
Gen 59/100 | Mejor: 418.3 | Promedio: 91.99 | Record: 507.4
Gen 60/100 | Mejor: 374.2 | Promedio: 88.22 | Record: 507.4
Gen 61/100 | Mejor: 387.3 | Promedio: 90.76 | Record: 507.4
Gen 62/100 | Mejor: 312.2 | Promedio: 84.12 | Record: 507.4
Gen 63/100 | Mejor: 339.1 | Promedio: 83.39 | Record: 507.4
Gen 64/100 | Mejor: 339.1 | Promedio: 87.99 | Record: 507.4
Gen 65/100 | Mejor: 424.3 | Promedio: 88.31 | Record: 507.4
Gen 66/100 | Mejor: 380.8 | Promedio: 89.05 | Record: 507.4
Gen 67/100 | Mejor: 357.1 | Promedio: 89.64 | Record: 507.4
Gen 68/100 | Mejor: 400.0 | Promedio: 96.41 | Record: 507.4
Gen 69/100 | Mejor: 374.2 | Promedio: 84.91 | Record: 507.4
Gen 70/100 | Mejor: 360.6 | Promedio: 88.07 | Record: 507.4
