Nuevo entrenamiento
Generaciones: 100 - Poblacion: 400
Gen 1/100 | Mejor: 308.2 | Promedio: 82.49 | Record: 308.2
Gen 2/100 | Mejor: 489.9 | Promedio: 83.15 | Record: 489.9
Gen 3/100 | Mejor: 421.3 | Promedio: 82.94 | Record: 489.9
Gen 4/100 | Mejor: 380.8 | Promedio: 82.02 | Record: 489.9
Gen 5/100 | Mejor: 393.7 | Promedio: 83.43 | Record: 489.9
Gen 6/100 | Mejor: 447.2 | Promedio: 88.66 | Record: 489.9
Gen 7/100 | Mejor: 390.5 | Promedio: 81.63 | Record: 489.9
Gen 8/100 | Mejor: 367.4 | Promedio: 78.63 | Record: 489.9
Gen 9/100 | Mejor: 374.2 | Promedio: 79.43 | Record: 489.9
Gen 10/100 | Mejor: 479.6 | Promedio: 82.32 | Record: 489.9
Gen 11/100 | Mejor: 469.0 | Promedio: 81.01 | Record: 489.9
Gen 12/100 | Mejor: 390.5 | Promedio: 82.43 | Record: 489.9
Gen 13/100 | Mejor: 418.3 | Promedio: 79.76 | Record: 489.9
Gen 14/100 | Mejor: 393.7 | Promedio: 81.63 | Record: 489.9
Gen 15/100 | Mejor: 367.4 | Promedio: 80.06 | Record: 489.9
Gen 16/100 | Mejor: 353.6 | Promedio: 79.54 | Record: 489.9
Gen 17/100 | Mejor: 339.1 | Promedio: 81.62 | Record: 489.9
Gen 18/100 | Mejor: 353.6 | Promedio: 81.25 | Record: 489.9
Gen 19/100 | Mejor: 320.2 | Promedio: 78.94 | Record: 489.9
Gen 20/100 | Mejor: 335.4 | Promedio: 77.85 | Record: 489.9
Gen 21/100 | Mejor: 415.3 | Promedio: 81.51 | Record: 489.9
  [sigma ajustado a 0.294]
Gen 22/100 | Mejor: 364.0 | Promedio: 78.07 | Record: 489.9
Gen 23/100 | Mejor: 484.8 | Promedio: 85.08 | Record: 489.9
Gen 24/100 | Mejor: 421.3 | Promedio: 80.3 | Record: 489.9
Gen 25/100 | Mejor: 387.3 | Promedio: 78.07 | Record: 489.9
Gen 26/100 | Mejor: 295.8 | Promedio: 78.49 | Record: 489.9
Gen 27/100 | Mejor: 427.2 | Promedio: 84.45 | Record: 489.9
Gen 28/100 | Mejor: 409.3 | Promedio: 85.41 | Record: 489.9
Gen 29/100 | Mejor: 331.7 | Promedio: 82.13 | Record: 489.9
Gen 30/100 | Mejor: 458.3 | Promedio: 81.91 | Record: 489.9
Gen 31/100 | Mejor: 421.3 | Promedio: 82.95 | Record: 489.9
Gen 32/100 | Mejor: 380.8 | Promedio: 81.61 | Record: 489.9
Gen 33/100 | Mejor: 324.0 | Promedio: 79.52 | Record: 489.9
Gen 34/100 | Mejor: 474.3 | Promedio: 83.17 | Record: 489.9
Gen 35/100 | Mejor: 390.5 | Promedio: 84.63 | Record: 489.9
Gen 36/100 | Mejor: 452.8 | Promedio: 82.93 | Record: 489.9
Gen 37/100 | Mejor: 377.5 | Promedio: 80.68 | Record: 489.9
Gen 38/100 | Mejor: 339.1 | Promedio: 76.73 | Record: 489.9
Gen 39/100 | Mejor: 452.8 | Promedio: 85.78 | Record: 489.9
Gen 40/100 | Mejor: 300.0 | Promedio: 80.24 | Record: 489.9
Gen 41/100 | Mejor: 412.3 | Promedio: 83.49 | Record: 489.9
  [sigma ajustado a 0.353]
Gen 42/100 | Mejor: 374.2 | Promedio: 83.41 | Record: 489.9
Gen 43/100 | Mejor: 427.2 | Promedio: 77.58 | Record: 489.9
Gen 44/100 | Mejor: 469.0 | Promedio: 78.77 | Record: 489.9
Gen 45/100 | Mejor: 316.2 | Promedio: 71.85 | Record: 489.9
Gen 46/100 | Mejor: 438.7 | Promedio: 82.09 | Record: 489.9
Gen 47/100 | Mejor: 438.7 | Promedio: 75.9 | Record: 489.9
Gen 48/100 | Mejor: 346.4 | Promedio: 81.15 | Record: 489.9
Gen 49/100 | Mejor: 393.7 | Promedio: 77.75 | Record: 489.9
Gen 50/100 | Mejor: 427.2 | Promedio: 78.91 | Record: 489.9
Gen 51/100 | Mejor: 282.8 | Promedio: 76.28 | Record: 489.9
Gen 52/100 | Mejor: 415.3 | Promedio: 83.25 | Record: 489.9
Gen 53/100 | Mejor: 415.3 | Promedio: 77.08 | Record: 489.9
Gen 54/100 | Mejor: 320.2 | Promedio: 76.51 | Record: 489.9
Gen 55/100 | Mejor: 466.4 | Promedio: 86.42 | Record: 489.9
Gen 56/100 | Mejor: 393.7 | Promedio: 82.04 | Record: 489.9
Gen 57/100 | Mejor: 421.3 | Promedio: 86.3 | Record: 489.9
Gen 58/100 | Mejor: 339.1 | Promedio: 82.31 | Record: 489.9
Gen 59/100 | Mejor: 335.4 | Promedio: 85.64 | Record: 489.9
Gen 60/100 | Mejor: 447.2 | Promedio: 84.76 | Record: 489.9
Gen 61/100 | Mejor: 435.9 | Promedio: 81.89 | Record: 489.9
  [sigma ajustado a 0.423]
  [reset sigma → 0.05]
Gen 62/100 | Mejor: 430.1 | Promedio: 85.88 | Record: 489.9
Gen 63/100 | Mejor: 387.3 | Promedio: 84.81 | Record: 489.9
Gen 64/100 | Mejor: 393.7 | Promedio: 86.48 | Record: 489.9
Gen 65/100 | Mejor: 415.3 | Promedio: 85.68 | Record: 489.9
Gen 66/100 | Mejor: 466.4 | Promedio: 88.6 | Record: 489.9
Gen 67/100 | Mejor: 350.0 | Promedio: 88.32 | Record: 489.9
Gen 68/100 | Mejor: 438.7 | Promedio: 89.46 | Record: 489.9
Gen 69/100 | Mejor: 455.5 | Promedio: 90.35 | Record: 489.9
Gen 70/100 | Mejor: 441.6 | Promedio: 93.26 | Record: 489.9
Gen 71/100 | Mejor: 421.3 | Promedio: 88.65 | Record: 489.9
Gen 72/100 | Mejor: 438.7 | Promedio: 88.3 | Record: 489.9
Gen 73/100 | Mejor: 471.7 | Promedio: 94.06 | Record: 489.9
Gen 74/100 | Mejor: 335.4 | Promedio: 92.09 | Record: 489.9
Gen 75/100 | Mejor: 421.3 | Promedio: 89.13 | Record: 489.9
Gen 76/100 | Mejor: 387.3 | Promedio: 96.89 | Record: 489.9
Gen 77/100 | Mejor: 409.3 | Promedio: 100.25 | Record: 489.9
Gen 78/100 | Mejor: 458.3 | Promedio: 94.51 | Record: 489.9
Gen 79/100 | Mejor: 342.8 | Promedio: 98.43 | Record: 489.9
Gen 80/100 | Mejor: 357.1 | Promedio: 94.8 | Record: 489.9
Gen 81/100 | Mejor: 357.1 | Promedio: 95.91 | Record: 489.9
  [sigma ajustado a 0.060]
Gen 82/100 | Mejor: 339.1 | Promedio: 98.17 | Record: 489.9
Gen 83/100 | Mejor: 387.3 | Promedio: 97.68 | Record: 489.9
Gen 84/100 | Mejor: 390.5 | Promedio: 100.91 | Record: 489.9
Gen 85/100 | Mejor: 435.9 | Promedio: 100.18 | Record: 489.9
Gen 86/100 | Mejor: 396.9 | Promedio: 101.06 | Record: 489.9
Gen 87/100 | Mejor: 374.2 | Promedio: 96.3 | Record: 489.9
Gen 88/100 | Mejor: 418.3 | Promedio: 100.96 | Record: 489.9
Gen 89/100 | Mejor: 441.6 | Promedio: 96.73 | Record: 489.9
Gen 90/100 | Mejor: 370.8 | Promedio: 93.14 | Record: 489.9
Gen 91/100 | Mejor: 304.1 | Promedio: 89.64 | Record: 489.9
Gen 92/100 | Mejor: 295.8 | Promedio: 94.32 | Record: 489.9
Gen 93/100 | Mejor: 295.8 | Promedio: 96.62 | Record: 489.9
Gen 94/100 | Mejor: 331.7 | Promedio: 96.63 | Record: 489.9
Gen 95/100 | Mejor: 390.5 | Promedio: 101.76 | Record: 489.9
Gen 96/100 | Mejor: 370.8 | Promedio: 106.54 | Record: 489.9
Gen 97/100 | Mejor: 370.8 | Promedio: 102.69 | Record: 489.9
Gen 98/100 | Mejor: 320.2 | Promedio: 94.73 | Record: 489.9
Gen 99/100 | Mejor: 430.1 | Promedio: 94.61 | Record: 489.9
Gen 100/100 | Mejor: 450.0 | Promedio: 94.3 | Record: 489.9
100: 393.11
