Nuevo entrenamiento
Generaciones: 100 - Poblacion: 1000
Gen 1/100 | Mejor: 441.6 | Promedio: 93.32 | Record: 441.6
Gen 2/100 | Mejor: 500.0 | Promedio: 85.07 | Record: 500.0
Gen 3/100 | Mejor: 430.1 | Promedio: 86.67 | Record: 500.0
Gen 4/100 | Mejor: 393.7 | Promedio: 80.78 | Record: 500.0
Gen 5/100 | Mejor: 487.3 | Promedio: 84.05 | Record: 500.0
Gen 6/100 | Mejor: 469.0 | Promedio: 81.44 | Record: 500.0
Gen 7/100 | Mejor: 441.6 | Promedio: 84.6 | Record: 500.0
Gen 8/100 | Mejor: 400.0 | Promedio: 83.64 | Record: 500.0
Gen 9/100 | Mejor: 447.2 | Promedio: 83.12 | Record: 500.0
Gen 10/100 | Mejor: 469.0 | Promedio: 85.47 | Record: 500.0
Gen 11/100 | Mejor: 492.4 | Promedio: 84.55 | Record: 500.0
Gen 12/100 | Mejor: 421.3 | Promedio: 86.45 | Record: 500.0
Gen 13/100 | Mejor: 403.1 | Promedio: 82.29 | Record: 500.0
Gen 14/100 | Mejor: 441.6 | Promedio: 86.37 | Record: 500.0
Gen 15/100 | Mejor: 458.3 | Promedio: 85.04 | Record: 500.0
Gen 16/100 | Mejor: 374.2 | Promedio: 84.89 | Record: 500.0
Gen 17/100 | Mejor: 502.5 | Promedio: 82.27 | Record: 502.5
Gen 18/100 | Mejor: 435.9 | Promedio: 86.4 | Record: 502.5
Gen 19/100 | Mejor: 390.5 | Promedio: 86.4 | Record: 502.5
Gen 20/100 | Mejor: 438.7 | Promedio: 85.74 | Record: 502.5
Gen 21/100 | Mejor: 484.8 | Promedio: 87.15 | Record: 502.5
Gen 22/100 | Mejor: 461.0 | Promedio: 86.21 | Record: 502.5
Gen 23/100 | Mejor: 471.7 | Promedio: 87.72 | Record: 502.5
Gen 24/100 | Mejor: 495.0 | Promedio: 88.38 | Record: 502.5
Gen 25/100 | Mejor: 482.2 | Promedio: 88.57 | Record: 502.5
Gen 26/100 | Mejor: 489.9 | Promedio: 91.32 | Record: 502.5
Gen 27/100 | Mejor: 458.3 | Promedio: 87.81 | Record: 502.5
Gen 28/100 | Mejor: 474.3 | Promedio: 90.93 | Record: 502.5
Gen 29/100 | Mejor: 455.5 | Promedio: 89.91 | Record: 502.5
Gen 30/100 | Mejor: 477.0 | Promedio: 88.84 | Record: 502.5
Gen 31/100 | Mejor: 458.3 | Promedio: 89.52 | Record: 502.5
Gen 32/100 | Mejor: 450.0 | Promedio: 87.71 | Record: 502.5
Gen 33/100 | Mejor: 450.0 | Promedio: 87.34 | Record: 502.5
Gen 34/100 | Mejor: 463.7 | Promedio: 86.94 | Record: 502.5
Gen 35/100 | Mejor: 452.8 | Promedio: 88.52 | Record: 502.5
Gen 36/100 | Mejor: 489.9 | Promedio: 89.32 | Record: 502.5
  [sigma ajustado a 0.206]
Gen 37/100 | Mejor: 441.6 | Promedio: 89.81 | Record: 502.5
Gen 38/100 | Mejor: 455.5 | Promedio: 87.27 | Record: 502.5
Gen 39/100 | Mejor: 461.0 | Promedio: 87.07 | Record: 502.5
Gen 40/100 | Mejor: 479.6 | Promedio: 86.99 | Record: 502.5
Gen 41/100 | Mejor: 418.3 | Promedio: 85.39 | Record: 502.5
Gen 42/100 | Mejor: 469.0 | Promedio: 87.49 | Record: 502.5
Gen 43/100 | Mejor: 495.0 | Promedio: 89.05 | Record: 502.5
Gen 44/100 | Mejor: 441.6 | Promedio: 88.31 | Record: 502.5
Gen 45/100 | Mejor: 466.4 | Promedio: 88.57 | Record: 502.5
Gen 46/100 | Mejor: 474.3 | Promedio: 88.42 | Record: 502.5
Gen 47/100 | Mejor: 471.7 | Promedio: 86.69 | Record: 502.5
Gen 48/100 | Mejor: 433.0 | Promedio: 89.24 | Record: 502.5
Gen 49/100 | Mejor: 415.3 | Promedio: 86.16 | Record: 502.5
Gen 50/100 | Mejor: 463.7 | Promedio: 86.81 | Record: 502.5
Gen 51/100 | Mejor: 427.2 | Promedio: 85.36 | Record: 502.5
Gen 52/100 | Mejor: 418.3 | Promedio: 89.36 | Record: 502.5
Gen 53/100 | Mejor: 482.2 | Promedio: 90.13 | Record: 502.5
Gen 54/100 | Mejor: 424.3 | Promedio: 85.18 | Record: 502.5
Gen 55/100 | Mejor: 438.7 | Promedio: 90.12 | Record: 502.5
Gen 56/100 | Mejor: 438.7 | Promedio: 91.7 | Record: 502.5
  [sigma ajustado a 0.247]
Gen 57/100 | Mejor: 471.7 | Promedio: 91.21 | Record: 502.5
Gen 58/100 | Mejor: 474.3 | Promedio: 85.07 | Record: 502.5
Gen 59/100 | Mejor: 387.3 | Promedio: 89.55 | Record: 502.5
Gen 60/100 | Mejor: 433.0 | Promedio: 86.22 | Record: 502.5
Gen 61/100 | Mejor: 482.2 | Promedio: 87.64 | Record: 502.5
Gen 62/100 | Mejor: 367.4 | Promedio: 84.92 | Record: 502.5
Gen 63/100 | Mejor: 487.3 | Promedio: 91.16 | Record: 502.5
Gen 64/100 | Mejor: 447.2 | Promedio: 90.02 | Record: 502.5
Gen 65/100 | Mejor: 458.3 | Promedio: 88.69 | Record: 502.5
Gen 66/100 | Mejor: 461.0 | Promedio: 87.66 | Record: 502.5
Gen 67/100 | Mejor: 450.0 | Promedio: 88.1 | Record: 502.5
Gen 68/100 | Mejor: 421.3 | Promedio: 87.4 | Record: 502.5
Gen 69/100 | Mejor: 441.6 | Promedio: 91.48 | Record: 502.5
Gen 70/100 | Mejor: 461.0 | Promedio: 91.62 | Record: 502.5
Gen 71/100 | Mejor: 424.3 | Promedio: 90.25 | Record: 502.5
Gen 72/100 | Mejor: 438.7 | Promedio: 88.62 | Record: 502.5
Gen 73/100 | Mejor: 477.0 | Promedio: 87.7 | Record: 502.5
Gen 74/100 | Mejor: 452.8 | Promedio: 89.94 | Record: 502.5
Gen 75/100 | Mejor: 441.6 | Promedio: 88.42 | Record: 502.5
Gen 76/100 | Mejor: 430.1 | Promedio: 90.14 | Record: 502.5
  [sigma ajustado a 0.296]
Gen 77/100 | Mejor: 469.0 | Promedio: 90.56 | Record: 502.5
Gen 78/100 | Mejor: 458.3 | Promedio: 89.99 | Record: 502.5
Gen 79/100 | Mejor: 466.4 | Promedio: 93.56 | Record: 502.5
Gen 80/100 | Mejor: 424.3 | Promedio: 90.11 | Record: 502.5
Gen 81/100 | Mejor: 435.9 | Promedio: 84.27 | Record: 502.5
Gen 82/100 | Mejor: 458.3 | Promedio: 88.2 | Record: 502.5
Gen 83/100 | Mejor: 519.6 | Promedio: 91.3 | Record: 519.6
Gen 84/100 | Mejor: 477.0 | Promedio: 95.27 | Record: 519.6
Gen 85/100 | Mejor: 447.2 | Promedio: 92.16 | Record: 519.6
Gen 86/100 | Mejor: 433.0 | Promedio: 91.54 | Record: 519.6
Gen 87/100 | Mejor: 479.6 | Promedio: 95.24 | Record: 519.6
Gen 88/100 | Mejor: 479.6 | Promedio: 96.46 | Record: 519.6
Gen 89/100 | Mejor: 447.2 | Promedio: 93.39 | Record: 519.6
Gen 90/100 | Mejor: 469.0 | Promedio: 92.6 | Record: 519.6
Gen 91/100 | Mejor: 455.5 | Promedio: 96.09 | Record: 519.6
Gen 92/100 | Mejor: 458.3 | Promedio: 93.92 | Record: 519.6
Gen 93/100 | Mejor: 415.3 | Promedio: 94.58 | Record: 519.6
Gen 94/100 | Mejor: 471.7 | Promedio: 93.25 | Record: 519.6
Gen 95/100 | Mejor: 463.7 | Promedio: 94.04 | Record: 519.6
Gen 96/100 | Mejor: 484.8 | Promedio: 96.71 | Record: 519.6
Gen 97/100 | Mejor: 444.4 | Promedio: 95.43 | Record: 519.6
Gen 98/100 | Mejor: 484.8 | Promedio: 90.77 | Record: 519.6
Gen 99/100 | Mejor: 441.6 | Promedio: 91.66 | Record: 519.6
Gen 100/100 | Mejor: 435.9 | Promedio: 97.07 | Record: 519.6
100: 452.96
