Nuevo entrenamiento
Generaciones: 100 - Poblacion: 1000
Gen 1/100 | Mejor: 461.0 | Promedio: 103.9 | Record: 461.0
Gen 2/100 | Mejor: 482.2 | Promedio: 100.93 | Record: 482.2
Gen 3/100 | Mejor: 512.3 | Promedio: 97.86 | Record: 512.3
Gen 4/100 | Mejor: 484.8 | Promedio: 100.53 | Record: 512.3
Gen 5/100 | Mejor: 495.0 | Promedio: 99.99 | Record: 512.3
Gen 6/100 | Mejor: 461.0 | Promedio: 101.22 | Record: 512.3
Gen 7/100 | Mejor: 471.7 | Promedio: 99.54 | Record: 512.3
Gen 8/100 | Mejor: 489.9 | Promedio: 98.85 | Record: 512.3
Gen 9/100 | Mejor: 482.2 | Promedio: 94.97 | Record: 512.3
Gen 10/100 | Mejor: 474.3 | Promedio: 97.2 | Record: 512.3
Gen 11/100 | Mejor: 502.5 | Promedio: 99.25 | Record: 512.3
Gen 12/100 | Mejor: 487.3 | Promedio: 100.66 | Record: 512.3
Gen 13/100 | Mejor: 495.0 | Promedio: 97.5 | Record: 512.3
Gen 14/100 | Mejor: 471.7 | Promedio: 95.96 | Record: 512.3
Gen 15/100 | Mejor: 477.0 | Promedio: 99.91 | Record: 512.3
Gen 16/100 | Mejor: 484.8 | Promedio: 102.07 | Record: 512.3
Gen 17/100 | Mejor: 477.0 | Promedio: 98.83 | Record: 512.3
Gen 18/100 | Mejor: 484.8 | Promedio: 94.34 | Record: 512.3
Gen 19/100 | Mejor: 479.6 | Promedio: 99.39 | Record: 512.3
Gen 20/100 | Mejor: 489.9 | Promedio: 97.31 | Record: 512.3
Gen 21/100 | Mejor: 469.0 | Promedio: 97.74 | Record: 512.3
Gen 22/100 | Mejor: 477.0 | Promedio: 94.0 | Record: 512.3
  [sigma ajustado a 0.206]
Gen 23/100 | Mejor: 497.5 | Promedio: 99.87 | Record: 512.3
Gen 24/100 | Mejor: 463.7 | Promedio: 99.99 | Record: 512.3
Gen 25/100 | Mejor: 461.0 | Promedio: 95.6 | Record: 512.3
Gen 26/100 | Mejor: 477.0 | Promedio: 95.0 | Record: 512.3
Gen 27/100 | Mejor: 497.5 | Promedio: 99.72 | Record: 512.3
Gen 28/100 | Mejor: 466.4 | Promedio: 94.66 | Record: 512.3
Gen 29/100 | Mejor: 461.0 | Promedio: 93.35 | Record: 512.3
Gen 30/100 | Mejor: 507.4 | Promedio: 95.05 | Record: 512.3
Gen 31/100 | Mejor: 477.0 | Promedio: 94.58 | Record: 512.3
Gen 32/100 | Mejor: 471.7 | Promedio: 87.75 | Record: 512.3
Gen 33/100 | Mejor: 477.0 | Promedio: 94.08 | Record: 512.3
Gen 34/100 | Mejor: 447.2 | Promedio: 89.52 | Record: 512.3
Gen 35/100 | Mejor: 450.0 | Promedio: 94.7 | Record: 512.3
Gen 36/100 | Mejor: 492.4 | Promedio: 91.75 | Record: 512.3
Gen 37/100 | Mejor: 492.4 | Promedio: 99.06 | Record: 512.3
Gen 38/100 | Mejor: 502.5 | Promedio: 95.74 | Record: 512.3
Gen 39/100 | Mejor: 484.8 | Promedio: 92.76 | Record: 512.3
Gen 40/100 | Mejor: 466.4 | Promedio: 93.58 | Record: 512.3
Gen 41/100 | Mejor: 482.2 | Promedio: 102.89 | Record: 512.3
Gen 42/100 | Mejor: 514.8 | Promedio: 96.53 | Record: 514.8
Gen 43/100 | Mejor: 484.8 | Promedio: 99.97 | Record: 514.8
Gen 44/100 | Mejor: 492.4 | Promedio: 97.89 | Record: 514.8
Gen 45/100 | Mejor: 479.6 | Promedio: 96.32 | Record: 514.8
