Nuevo entrenamiento
Generaciones: 100 - Poblacion: 1000
Gen 1/100 | Mejor: 482.2 | Promedio: 101.99 | Record: 482.2
Gen 2/100 | Mejor: 474.3 | Promedio: 88.32 | Record: 482.2
Gen 3/100 | Mejor: 455.5 | Promedio: 81.43 | Record: 482.2
Gen 4/100 | Mejor: 466.4 | Promedio: 87.96 | Record: 482.2
Gen 5/100 | Mejor: 466.4 | Promedio: 86.06 | Record: 482.2
Gen 6/100 | Mejor: 487.3 | Promedio: 91.34 | Record: 487.3
Gen 7/100 | Mejor: 477.0 | Promedio: 96.56 | Record: 487.3
Gen 8/100 | Mejor: 492.4 | Promedio: 91.45 | Record: 492.4
Gen 9/100 | Mejor: 517.2 | Promedio: 100.28 | Record: 517.2
Gen 10/100 | Mejor: 505.0 | Promedio: 95.63 | Record: 517.2
Gen 11/100 | Mejor: 471.7 | Promedio: 99.39 | Record: 517.2
Gen 12/100 | Mejor: 492.4 | Promedio: 96.09 | Record: 517.2
Gen 13/100 | Mejor: 484.8 | Promedio: 98.66 | Record: 517.2
Gen 14/100 | Mejor: 497.5 | Promedio: 101.98 | Record: 517.2
Gen 15/100 | Mejor: 500.0 | Promedio: 94.82 | Record: 517.2
Gen 16/100 | Mejor: 502.5 | Promedio: 95.76 | Record: 517.2
Gen 17/100 | Mejor: 479.6 | Promedio: 97.11 | Record: 517.2
Gen 18/100 | Mejor: 484.8 | Promedio: 100.09 | Record: 517.2
Gen 19/100 | Mejor: 495.0 | Promedio: 100.52 | Record: 517.2
Gen 20/100 | Mejor: 489.9 | Promedio: 96.09 | Record: 517.2
Gen 21/100 | Mejor: 479.6 | Promedio: 94.3 | Record: 517.2
Gen 22/100 | Mejor: 487.3 | Promedio: 93.81 | Record: 517.2
Gen 23/100 | Mejor: 452.8 | Promedio: 92.08 | Record: 517.2
Gen 24/100 | Mejor: 471.7 | Promedio: 94.41 | Record: 517.2
Gen 25/100 | Mejor: 487.3 | Promedio: 100.86 | Record: 517.2
Gen 26/100 | Mejor: 492.4 | Promedio: 97.71 | Record: 517.2
Gen 27/100 | Mejor: 512.3 | Promedio: 97.5 | Record: 517.2
Gen 28/100 | Mejor: 452.8 | Promedio: 93.19 | Record: 517.2
  [sigma ajustado a 0.144]
Gen 29/100 | Mejor: 461.0 | Promedio: 93.38 | Record: 517.2
Gen 30/100 | Mejor: 500.0 | Promedio: 92.84 | Record: 517.2
Gen 31/100 | Mejor: 487.3 | Promedio: 98.08 | Record: 517.2
Gen 32/100 | Mejor: 500.0 | Promedio: 97.0 | Record: 517.2
Gen 33/100 | Mejor: 495.0 | Promedio: 100.84 | Record: 517.2
Gen 34/100 | Mejor: 479.6 | Promedio: 100.28 | Record: 517.2
Gen 35/100 | Mejor: 484.8 | Promedio: 95.25 | Record: 517.2
Gen 36/100 | Mejor: 479.6 | Promedio: 98.04 | Record: 517.2
Gen 37/100 | Mejor: 482.2 | Promedio: 96.11 | Record: 517.2
Gen 38/100 | Mejor: 482.2 | Promedio: 96.82 | Record: 517.2
Gen 39/100 | Mejor: 487.3 | Promedio: 96.71 | Record: 517.2
Gen 40/100 | Mejor: 484.8 | Promedio: 97.37 | Record: 517.2
Gen 41/100 | Mejor: 441.6 | Promedio: 94.05 | Record: 517.2
Gen 42/100 | Mejor: 497.5 | Promedio: 92.46 | Record: 517.2
Gen 43/100 | Mejor: 500.0 | Promedio: 101.78 | Record: 517.2
Gen 44/100 | Mejor: 497.5 | Promedio: 95.34 | Record: 517.2
Gen 45/100 | Mejor: 466.4 | Promedio: 97.62 | Record: 517.2
